,ciudad,tipo_de_contrato,estado_contrato,modalidad_de_contratacion,fecha_de_firma,fecha_de_inicio_del_contrato,fecha_de_fin_del_contrato,valor_del_contrato
16,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-15T20:01:54.000,2020-01-13T00:00:00.000,2020-12-31T00:00:00.000,84606638
17,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-30T11:01:33.000,2020-01-23T00:00:00.000,2020-12-21T00:00:00.000,35306646
18,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-10-06T19:10:55.000,2023-10-10T00:00:00.000,2023-12-31T00:00:00.000,24623341
19,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-02T21:02:58.000,2021-02-03T00:00:00.000,2021-11-30T00:00:00.000,96220353
20,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-26T11:01:11.000,2022-01-28T00:00:00.000,2022-12-31T00:00:00.000,51450000
21,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-23T21:01:03.000,2023-01-25T00:00:00.000,2023-05-24T00:00:00.000,18400000
22,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-06-04T17:06:57.000,2020-04-20T00:00:00.000,2020-12-31T00:00:00.000,42816792
23,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-06-07T11:06:09.000,2023-06-08T00:00:00.000,2023-12-31T00:00:00.000,48111000
24,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-11T17:01:12.000,2022-01-12T00:00:00.000,2022-12-27T00:00:00.000,102280246
25,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2020-05-11T20:05:41.000,2020-05-12T00:00:00.000,2020-12-31T00:00:00.000,69000000
26,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-11T11:01:11.000,2022-01-12T00:00:00.000,2022-12-31T00:00:00.000,102667500
27,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-24T14:01:12.000,2020-01-20T00:00:00.000,2020-12-31T00:00:00.000,140314403
28,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-08-01T18:08:51.000,2023-08-02T00:00:00.000,2023-12-31T00:00:00.000,26500000
29,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-18T20:01:44.000,2021-01-19T00:00:00.000,2021-12-31T00:00:00.000,121649862
30,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-12T19:01:29.000,2022-01-14T00:00:00.000,2022-12-31T00:00:00.000,62062636
31,Bogotá,Prestación de servicios,Modificado,Contratación directa,2022-01-17T14:01:11.000,2022-01-18T00:00:00.000,2022-12-31T00:00:00.000,126683544
32,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2021-01-14T18:01:50.000,2021-01-15T00:00:00.000,2021-12-31T00:00:00.000,80967988
33,Bogotá,Prestación de servicios,Activo,Contratación directa,2023-11-16T15:11:46.000,,2023-12-31T00:00:00.000,10400000
34,Bogotá,Prestación de servicios,terminado,Contratación directa,2022-01-11T18:01:42.000,2022-01-12T00:00:00.000,2022-12-31T00:00:00.000,200516977
35,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2021-01-29T00:01:54.000,2021-02-01T00:00:00.000,2021-12-31T00:00:00.000,77000000
36,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-23T06:01:39.000,2023-01-24T00:00:00.000,2023-05-23T00:00:00.000,49284000
37,Bogotá,Consultoría,En ejecución,Concurso de méritos abierto,2020-12-16T11:12:15.000,2020-12-16T00:00:00.000,2021-09-16T00:00:00.000,526000000
38,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-18T22:01:12.000,2021-01-19T00:00:00.000,2021-12-31T00:00:00.000,124881131
39,Bogotá,No Especificado,En ejecución,Contratación directa,2023-10-24T17:10:35.000,2023-10-26T00:00:00.000,2023-12-31T00:00:00.000,9866662
40,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-06T14:02:55.000,2020-01-24T00:00:00.000,2020-12-31T00:00:00.000,94640962
41,Bogotá,Prestación de servicios,Activo,Contratación régimen especial,2020-01-24T15:01:16.000,2020-01-15T00:00:00.000,2020-12-30T00:00:00.000,146642764
42,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-30T16:01:56.000,2023-01-31T00:00:00.000,2023-05-30T00:00:00.000,33023640
43,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-15T23:01:33.000,2021-01-18T00:00:00.000,2021-12-31T00:00:00.000,142942386
44,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-06-02T18:06:29.000,2021-06-03T00:00:00.000,2021-12-31T00:00:00.000,100186648
45,Bogotá,Prestación de servicios,cedido,Contratación directa,2022-01-12T18:01:49.000,2022-01-14T00:00:00.000,2022-12-31T00:00:00.000,77676660
46,Bogotá,Prestación de servicios,Activo,Contratación régimen especial,2020-01-22T18:01:47.000,2020-01-13T00:00:00.000,2020-12-31T00:00:00.000,88363802
47,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-07T14:01:15.000,2022-01-11T00:00:00.000,2022-12-31T00:00:00.000,95200000
48,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-02T21:02:14.000,2021-02-04T00:00:00.000,2021-12-31T00:00:00.000,87199982
49,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-07-05T00:07:50.000,2023-07-06T00:00:00.000,2023-12-31T00:00:00.000,54243200
50,Bogotá,Arrendamiento de inmuebles,terminado,Contratación directa,2020-11-26T15:11:24.000,2020-12-01T00:00:00.000,2022-11-30T00:00:00.000,1027534780
51,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-04T21:02:40.000,2021-02-08T00:00:00.000,2021-12-31T00:00:00.000,86666650
52,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-18T15:01:40.000,2021-01-20T00:00:00.000,2021-12-31T00:00:00.000,123480000
53,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-23T20:01:05.000,2023-01-24T00:00:00.000,2023-05-23T00:00:00.000,14226508
54,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-03-22T08:03:00.000,2023-03-23T00:00:00.000,2023-07-22T00:00:00.000,41200000
55,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-17T21:01:47.000,2022-01-18T00:00:00.000,2022-12-31T00:00:00.000,111773010
56,Bogotá,Consultoría,terminado,Concurso de méritos abierto,2020-12-17T14:12:33.000,2020-12-18T00:00:00.000,2021-09-18T00:00:00.000,634000000
57,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-09-14T16:09:28.000,2023-09-18T00:00:00.000,2023-12-31T00:00:00.000,28176661
58,Bogotá,Otro,Cerrado,Contratación directa,2020-03-27T17:03:00.000,2020-03-27T00:00:00.000,2020-12-16T00:00:00.000,150000000
59,Bogotá,Prestación de servicios,Modificado,Contratación directa,2021-01-12T17:01:56.000,2021-01-13T00:00:00.000,2021-12-31T00:00:00.000,67283886
60,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-02-23T19:02:04.000,2023-02-28T00:00:00.000,2023-06-27T00:00:00.000,34000000
61,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-01T22:02:01.000,2021-02-02T00:00:00.000,2021-12-31T00:00:00.000,99352323
62,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-27T00:01:03.000,2021-01-28T00:00:00.000,2021-12-31T00:00:00.000,106323332
63,Bogotá,Prestación de servicios,cedido,Contratación directa,2022-01-27T09:01:32.000,2022-01-28T00:00:00.000,2022-12-31T00:00:00.000,145642596
64,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2021-01-07T22:01:48.000,2021-01-08T00:00:00.000,2021-12-31T00:00:00.000,70857812
65,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-10-30T15:10:35.000,2023-11-01T00:00:00.000,2023-12-31T00:00:00.000,8400000
66,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-05T22:01:52.000,2023-01-06T00:00:00.000,2023-07-05T00:00:00.000,28350000
67,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-28T15:02:02.000,2020-02-05T00:00:00.000,2020-12-31T00:00:00.000,92366658
68,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-25T16:02:08.000,2020-01-15T00:00:00.000,2020-12-31T00:00:00.000,104246300
69,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-12T15:01:05.000,2021-01-13T00:00:00.000,2021-12-31T00:00:00.000,98883327
70,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2020-11-20T15:11:40.000,2020-11-23T00:00:00.000,2020-12-31T00:00:00.000,3800000
71,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-17T18:02:44.000,2020-01-23T00:00:00.000,2020-12-31T00:00:00.000,62285437
72,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2020-09-17T11:09:19.000,2020-09-18T00:00:00.000,2020-12-31T00:00:00.000,31926910
73,Bogotá,Otro,terminado,Contratación directa,2020-11-20T13:11:44.000,2020-11-20T00:00:00.000,2020-12-28T00:00:00.000,150000000
74,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-25T18:01:14.000,2022-01-26T00:00:00.000,2022-12-31T00:00:00.000,52293530
75,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-08T21:02:58.000,2021-02-09T00:00:00.000,2021-12-31T00:00:00.000,31595036
76,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-06-22T09:06:57.000,2023-06-23T00:00:00.000,2023-12-31T00:00:00.000,87759000
77,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-05-25T16:05:00.000,2023-05-26T00:00:00.000,2023-12-31T00:00:00.000,79826588
78,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-06T14:02:50.000,2020-01-08T00:00:00.000,2020-12-31T00:00:00.000,23218550
79,Bogotá,Prestación de servicios,cedido,Contratación directa,2023-06-15T16:06:35.000,2023-06-16T00:00:00.000,2023-12-31T00:00:00.000,46800000
80,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-06T14:02:53.000,2020-01-21T00:00:00.000,2020-12-21T00:00:00.000,100871468
81,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-28T22:01:40.000,2021-01-29T00:00:00.000,2021-12-31T00:00:00.000,102191829
82,Bogotá,Otro,Activo,Contratación régimen especial,2023-11-08T08:11:58.000,,2024-12-31T00:00:00.000,1694691351
83,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2020-05-12T17:05:27.000,2020-05-13T00:00:00.000,2020-12-21T00:00:00.000,25300000
84,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-07-14T18:07:00.000,2021-07-15T00:00:00.000,2021-12-31T00:00:00.000,96326435
85,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-05-31T18:05:16.000,2023-06-01T00:00:00.000,2023-12-31T00:00:00.000,36400000
86,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-08-03T11:08:32.000,2023-08-04T00:00:00.000,2023-12-31T00:00:00.000,74500000
87,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-26T15:01:21.000,2023-01-27T00:00:00.000,2023-05-26T00:00:00.000,56000000
88,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-06-20T11:06:27.000,2023-06-21T00:00:00.000,2023-12-31T00:00:00.000,66734330
89,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-07-24T21:07:15.000,2023-07-26T00:00:00.000,2023-12-31T00:00:00.000,98507031
90,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-23T18:01:16.000,2023-01-24T00:00:00.000,2023-05-23T00:00:00.000,28440000
91,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-22T15:01:03.000,2021-01-26T00:00:00.000,2021-12-24T00:00:00.000,64196386
92,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-12T22:01:55.000,2022-01-14T00:00:00.000,2022-12-31T00:00:00.000,114320754
93,Bogotá,Prestación de servicios,Modificado,Contratación régimen especial,2020-01-27T16:01:34.000,2020-01-23T00:00:00.000,2020-06-21T00:00:00.000,30266664
94,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2021-01-15T09:01:25.000,2021-01-18T00:00:00.000,2021-12-31T00:00:00.000,114004800
95,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-24T22:01:07.000,2022-01-26T00:00:00.000,2022-12-31T00:00:00.000,111475000
96,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-11T14:01:19.000,2022-01-12T00:00:00.000,2022-12-31T00:00:00.000,94801200
97,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-13T18:01:33.000,2022-01-17T00:00:00.000,2022-12-31T00:00:00.000,144612000
98,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-02-09T18:02:10.000,2023-02-10T00:00:00.000,2023-06-09T00:00:00.000,41156000
99,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-16T10:01:14.000,2020-01-13T00:00:00.000,2020-12-24T00:00:00.000,80033319
100,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-20T22:01:07.000,2023-01-23T00:00:00.000,2023-05-22T00:00:00.000,40102020
101,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-27T22:01:08.000,2022-01-28T00:00:00.000,2022-09-30T00:00:00.000,78294420
102,Bogotá,Otro,En ejecución,Contratación régimen especial,2021-07-06T16:07:33.000,2021-07-07T00:00:00.000,2021-12-31T00:00:00.000,107818460
103,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-07-11T13:07:46.000,2023-07-12T00:00:00.000,2023-12-31T00:00:00.000,23940000
104,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-01-11T20:01:04.000,2023-01-13T00:00:00.000,2023-05-12T00:00:00.000,37800000
105,Bogotá,Otro,Modificado,Contratación régimen especial,2021-01-07T19:01:25.000,2021-01-08T00:00:00.000,2021-12-31T00:00:00.000,186822223
106,Bogotá,Prestación de servicios,cedido,Contratación directa,2021-01-15T21:01:15.000,2021-01-19T00:00:00.000,2021-12-24T00:00:00.000,26411000
107,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-06T15:01:55.000,2022-01-07T00:00:00.000,2022-12-31T00:00:00.000,122570000
108,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-26T17:01:59.000,2021-01-27T00:00:00.000,2021-12-31T00:00:00.000,100500000
109,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-28T22:01:36.000,2021-01-29T00:00:00.000,2021-12-24T00:00:00.000,100263810
110,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-09-05T11:09:45.000,2023-09-06T00:00:00.000,2023-12-31T00:00:00.000,36000000
111,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-06T14:02:35.000,2020-01-30T00:00:00.000,2020-12-31T00:00:00.000,69735432
112,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-12T20:01:17.000,2021-01-13T00:00:00.000,2021-12-31T00:00:00.000,103626869
113,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-06T16:01:38.000,2023-01-06T00:00:00.000,2023-07-05T00:00:00.000,42270000
114,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-29T15:01:33.000,2020-01-27T00:00:00.000,2020-12-31T00:00:00.000,79674165
115,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-05T23:01:23.000,2023-01-10T00:00:00.000,2023-05-09T00:00:00.000,70685544
116,Bogotá,Prestación de servicios,cedido,Contratación directa,2023-05-29T14:05:58.000,2023-05-30T00:00:00.000,2023-12-31T00:00:00.000,64829600
117,Bogotá,Prestación de servicios,Modificado,Contratación directa,2021-01-19T20:01:30.000,2021-01-20T00:00:00.000,2022-12-20T00:00:00.000,310266514
118,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-13T17:01:15.000,2022-01-14T00:00:00.000,2022-12-31T00:00:00.000,57347680
119,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-29T10:01:38.000,2020-01-21T00:00:00.000,2020-12-31T00:00:00.000,146576254
120,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-01T21:02:42.000,2021-02-02T00:00:00.000,2021-12-31T00:00:00.000,92452633
121,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-06-26T08:06:07.000,2023-06-27T00:00:00.000,2023-12-31T00:00:00.000,56011835
122,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-07-04T17:07:04.000,2023-07-05T00:00:00.000,2023-12-31T00:00:00.000,13646676
123,Bogotá,Prestación de servicios,cedido,Contratación directa,2022-01-11T17:01:28.000,2022-01-12T00:00:00.000,2022-12-31T00:00:00.000,123048741
124,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-07-11T15:07:12.000,2023-07-12T00:00:00.000,2023-12-31T00:00:00.000,20947500
125,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-14T15:01:09.000,2022-01-17T00:00:00.000,2022-12-31T00:00:00.000,103500000
126,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-11T17:01:50.000,2023-01-12T00:00:00.000,2023-07-11T00:00:00.000,51908034
127,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-17T16:01:28.000,2022-01-18T00:00:00.000,2022-12-31T00:00:00.000,64400000
128,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2021-01-15T23:01:56.000,2021-01-18T00:00:00.000,2021-12-31T00:00:00.000,123323975
129,Bogotá,Prestación de servicios,cedido,Contratación directa,2021-02-03T22:02:15.000,2021-02-08T00:00:00.000,2021-11-30T00:00:00.000,106560000
130,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-07T20:01:12.000,2021-01-08T00:00:00.000,2021-12-31T00:00:00.000,50739992
131,Bogotá,Prestación de servicios,cedido,Contratación directa,2022-01-17T10:01:40.000,2022-01-18T00:00:00.000,2022-12-31T00:00:00.000,99141554
132,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-25T19:01:27.000,2022-01-27T00:00:00.000,2022-12-31T00:00:00.000,86555642
133,Bogotá,Otro,Modificado,Contratación régimen especial,2021-01-08T18:01:41.000,2021-01-12T00:00:00.000,2021-12-31T00:00:00.000,152876676
134,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-06T00:01:13.000,2023-01-06T00:00:00.000,2023-07-05T00:00:00.000,36000000
135,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-31T21:01:16.000,2023-02-01T00:00:00.000,2023-05-31T00:00:00.000,39200000
136,Bogotá,Otro,Modificado,Contratación régimen especial,2020-05-11T18:05:41.000,2020-05-12T00:00:00.000,2021-06-29T00:00:00.000,214553463
137,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-30T00:01:32.000,2020-01-23T00:00:00.000,2020-12-31T00:00:00.000,56952000
138,Bogotá,Prestación de servicios,Modificado,Contratación directa,2021-01-15T19:01:59.000,2021-01-18T00:00:00.000,2021-12-31T00:00:00.000,152673062
139,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-03T22:02:53.000,2021-02-05T00:00:00.000,2021-12-31T00:00:00.000,126001940
140,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-02-17T17:02:02.000,2020-01-15T00:00:00.000,2020-12-31T00:00:00.000,58990000
141,Bogotá,Otro,En ejecución,Contratación régimen especial,2023-09-25T16:09:22.000,2023-10-26T00:00:00.000,2023-12-31T00:00:00.000,30118400
142,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-06-15T17:06:11.000,2023-06-16T00:00:00.000,2023-12-31T00:00:00.000,78000000
143,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-10-08T17:10:53.000,2021-10-11T00:00:00.000,2021-12-31T00:00:00.000,23360618
144,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-29T00:01:25.000,2021-02-01T00:00:00.000,2021-12-24T00:00:00.000,79369184
145,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-05-30T16:05:32.000,2023-05-31T00:00:00.000,2023-12-31T00:00:00.000,16698800
146,Bogotá,Prestación de servicios,cedido,Contratación directa,2021-01-15T20:01:50.000,2021-01-18T00:00:00.000,2021-12-31T00:00:00.000,173743827
147,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-07-13T16:07:23.000,2023-07-17T00:00:00.000,2023-08-16T00:00:00.000,64790903
148,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-02-03T09:02:41.000,2023-02-08T00:00:00.000,2023-06-07T00:00:00.000,39000000
149,Bogotá,Otro,En ejecución,Contratación régimen especial,2020-12-02T20:12:10.000,2020-12-04T00:00:00.000,2020-12-31T00:00:00.000,15179103
150,Bogotá,Otro,En ejecución,Contratación régimen especial,2023-09-12T09:09:34.000,2023-09-14T00:00:00.000,2023-12-15T00:00:00.000,28000000
151,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2020-09-16T21:09:45.000,2020-09-17T00:00:00.000,2020-12-31T00:00:00.000,35246085
152,Bogotá,Prestación de servicios,Modificado,Contratación directa,2021-01-20T21:01:33.000,2021-01-21T00:00:00.000,2021-12-19T00:00:00.000,100881000
153,Bogotá,Prestación de servicios,terminado,Contratación directa,2020-04-27T17:04:36.000,2020-04-27T00:00:00.000,2020-12-31T00:00:00.000,127744666
154,Bogotá,Otro,En ejecución,Contratación régimen especial,2022-01-17T14:01:45.000,2022-01-18T00:00:00.000,2022-12-31T00:00:00.000,109606500
155,Bogotá,Prestación de servicios,cedido,Contratación directa,2020-03-27T21:03:09.000,2020-01-14T00:00:00.000,2020-12-31T00:00:00.000,144717890
156,Bogotá,Prestación de servicios,cedido,Contratación directa,2020-02-28T15:02:00.000,2020-01-14T00:00:00.000,2020-12-31T00:00:00.000,132159770
157,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-20T09:01:37.000,2023-01-23T00:00:00.000,2023-05-22T00:00:00.000,53564000
158,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2021-04-20T17:04:10.000,2021-04-21T00:00:00.000,2021-12-31T00:00:00.000,12500000
159,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-24T10:01:07.000,2022-01-25T00:00:00.000,2022-12-31T00:00:00.000,151650000
160,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-17T20:01:13.000,2023-01-18T00:00:00.000,2023-05-17T00:00:00.000,49932000
161,Bogotá,Prestación de servicios,terminado,Contratación directa,2021-01-26T21:01:41.000,2021-01-27T00:00:00.000,2021-12-25T00:00:00.000,21680000
162,Bogotá,Prestación de servicios,Modificado,Contratación directa,2021-01-14T18:01:41.000,2021-01-18T00:00:00.000,2021-12-31T00:00:00.000,113966223
163,Bogotá,Prestación de servicios,cedido,Contratación directa,2022-01-26T00:01:34.000,2022-01-31T00:00:00.000,2022-12-21T00:00:00.000,65993527
164,Bogotá,Otro,En ejecución,Contratación régimen especial,2023-09-21T15:09:36.000,2023-09-21T00:00:00.000,2023-12-24T00:00:00.000,8611000
165,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-02-16T19:02:43.000,2023-02-17T00:00:00.000,2023-06-16T00:00:00.000,23760000
166,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2022-01-19T21:01:15.000,2022-01-20T00:00:00.000,2022-07-31T00:00:00.000,32000004
167,Bogotá,Prestación de servicios,Modificado,Contratación directa,2022-01-11T19:01:16.000,2022-01-12T00:00:00.000,2022-12-31T00:00:00.000,62010000
168,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2020-09-18T00:09:35.000,2020-09-21T00:00:00.000,2020-12-31T00:00:00.000,26666660
169,Bogotá,Otro,En ejecución,Contratación régimen especial,2021-08-30T17:08:34.000,2021-08-31T00:00:00.000,2021-12-24T00:00:00.000,6992000
170,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-06-02T17:06:38.000,2020-01-21T00:00:00.000,2020-12-31T00:00:00.000,47471579
171,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-30T11:01:50.000,2020-01-21T00:00:00.000,2020-12-21T00:00:00.000,41993452
172,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-10-09T18:10:54.000,2023-10-11T00:00:00.000,2023-12-31T00:00:00.000,6286674
173,Bogotá,Prestación de servicios,terminado,Contratación directa,2021-07-16T14:07:40.000,2021-07-16T00:00:00.000,2021-12-10T00:00:00.000,123250000
174,Bogotá,Prestación de servicios,En ejecución,Mínima cuantía,2023-10-13T16:10:40.000,2023-10-30T00:00:00.000,2023-11-30T00:00:00.000,12000000
175,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-02-07T17:02:59.000,2023-02-08T00:00:00.000,2023-06-07T00:00:00.000,51840000
176,Bogotá,Otro,En ejecución,Contratación régimen especial,2023-09-13T18:09:58.000,2023-09-15T00:00:00.000,2023-12-24T00:00:00.000,16793700
